time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
2500,2022-05-13 16:28:14,-34.4376624504668,-59.0521548528311,0,,,89.378347348296,0.656168,0,0.011809711664,0.071512141396,17,10,25.242,89.378347348296,0,0,0.0228809718608,0,0,0,239.3, 1.3, 1,0,0,1024,1024,1024,1024,0,0,0,0,242.4,-1.2,0,98,,,,,,,5.162,78.08,89.378347348296,0,10,Assisted_Takeoff,
2600,2022-05-13 16:28:14,-34.4376624330786,-59.0521548505181,0,,,89.378347348296,0.656168,0,0.0137091211736,0.077894031364,17,10,25.242,89.378347348296,0,0,0.0228809718608,0,0,0,239.3, 1.3, 1,0,0,1024,1024,1024,1024,0,0,0,0,242.3,-1.2,0,98,,,,,,,5.162,78.08,89.378347348296,0,10,Assisted_Takeoff,
2700,2022-05-13 16:28:14,-34.4376624295218,-59.0521548540798,0,,,89.378347348296,0.656168,0,0.0153504598088,0.079577102284,17,10,25.242,89.378347348296,0,0,0.0228809718608,0,0,0,239.3, 1.3, 1,0,0,1024,1024,1024,1024,0,0,0,0,242.3,-1.2,0,98,,,,,,,5.162,78.08,89.378347348296,0,10,Assisted_Takeoff,
2800,2022-05-13 16:28:14,-34.4376624165724,-59.0521548546751,0,,,89.378347348296,0.656168,0,0.0187712276348,0.084305120808,17,10,25.242,89.378347348296,0,0,0.0228809718608,0,0,0,239.3, 1.3, 1,0,0,1024,1024,1024,1024,0,0,0,0,242.3,-1.2,0,98,,,,,,,5.162,78.08,89.378347348296,0,10,Assisted_Takeoff,
2900,2022-05-13 16:28:14,-34.4376624185584,-59.0521548559038,0,,,89.378347348296,0.656168,0,0.0184768378616,0.085118769128,17,10,24.936,89.378347348296,0,0,0.0228809718608,0,0,0,239.3, 1.3, 1,0,0,1024,1024,1024,1024,0,0,0,0,242.3,-1.2,0,98,,,,,,,3.774,78.08,89.378347348296,0,10,Assisted_Takeoff,
3000,2022-05-13 16:28:14,-34.4376624222896,-59.0521548588745,0,,,89.378347348296,0.656168,0,0.0181576121296,0.086747378104,17,10,24.936,89.378347348296,0,0,0.0228809718608,0,0,0,239.3, 1.3, 1,0,0,1024,1024,1024,1024,0,0,0,0,242.4,-1.2,0,98,,,,,,,3.774,78.08,89.378347348296,0,10,Assisted_Takeoff,
3100,2022-05-13 16:28:15,-34.437662430375,-59.0521548654113,0,,,89.378347348296,0.656168,0,0.0179857617304,0.090292981892,17,10,24.936,89.378347348296,0,0,0.0228809718608,0,0,0,239.2, 1.3, 1,0,0,1024,1024,1024,1024,0,0,0,0,242.4,-1.2,0,98,,,,,,,3.774,78.08,89.378347348296,0,10,Assisted_Takeoff,
3200,2022-05-13 16:28:15,-34.4376624335702,-59.0521548683684,0,,,89.378347348296,0.656168,0,0.0182105976956,0.091759517372,17,10,24.936,89.378347348296,0,0,0.0228809718608,0,0,0,239.2, 1.3, 1,0,0,1024,1024,1024,1024,0,0,0,0,242.4,-1.2,0,98,,,,,,,3.774,78.08,89.378347348296,0,10,Assisted_Takeoff,
3300,2022-05-13 16:28:15,-34.4376624366423,-59.0521548741831,0,,,89.378347348296,0.656168,0,0.0193660767352,0.093837273344,17,10,24.936,89.378347348296,0,0,0.0228809718608,0,0,0,239.3, 1.3, 1,0,0,1024,1024,1024,1024,0,0,0,0,242.3,-1.2,0,98,,,,,,,3.774,78.08,89.378347348296,0,10,Assisted_Takeoff,
3400,2022-05-13 16:28:15,-34.43766243955,-59.0521548807986,0,,,89.378347348296,0.656168,0,0.0209144691732,0.096092850844,17,10,24.936,89.378347348296,0,0,0.0228809718608,0,0,0,239.3, 1.3, 1,0,0,1024,1024,1024,1024,0,0,0,0,242.3,-1.2,0,98,,,,,,,3.774,78.08,89.378347348296,0,10,Assisted_Takeoff,
