time(millisecond),datetime(utc),latitude,longitude
595000,2022-05-13 16:38:06,-34.4373641635199,-59.0519196272532
595100,2022-05-13 16:38:06,-34.4373641537878,-59.0519196386171
595200,2022-05-13 16:38:07,-34.437364140629,-59.0519196523077
595300,2022-05-13 16:38:07,-34.4373641311711,-59.0519196645441
595400,2022-05-13 16:38:07,-34.4373641192459,-59.0519196772583
595500,2022-05-13 16:38:07,-34.4373641118783,-59.0519196823273
595600,2022-05-13 16:38:07,-34.4373641066011,-59.0519196811847
595700,2022-05-13 16:38:07,-34.4373641133176,-59.0519196721476
595800,2022-05-13 16:38:07,-34.437364110679,-59.0519196700702
595900,2022-05-13 16:38:07,-34.4373641196229,-59.0519196669124
596000,2022-05-13 16:38:07,-34.4373641267848,-59.0519196676811
596100,2022-05-13 16:38:08,-34.4373641402863,-59.0519196667254
596200,2022-05-13 16:38:08,-34.4373641370994,-59.0519196704649
596300,2022-05-13 16:38:08,-34.4373641262708,-59.0519196690522
596400,2022-05-13 16:38:08,-34.4373641072522,-59.0519196622796
596500,2022-05-13 16:38:08,-34.4373640953613,-59.0519196524739
596600,2022-05-13 16:38:08,-34.437364082785,-59.0519196449534
596700,2022-05-13 16:38:08,-34.4373640738754,-59.0519196373706
596800,2022-05-13 16:38:08,-34.437364061162,-59.0519196265053
596900,2022-05-13 16:38:08,-34.4373640532804,-59.0519196274402
597000,2022-05-13 16:38:08,-34.4373640451247,-59.0519196294969
597100,2022-05-13 16:38:09,-34.4373640364207,-59.0519196330909
597200,2022-05-13 16:38:09,-34.4373640297727,-59.0519196407361
597300,2022-05-13 16:38:09,-34.4373640275796,-59.0519196427305
597400,2022-05-13 16:38:09,-34.4373640242214,-59.0519196434784
597500,2022-05-13 16:38:09,-34.437364021994,-59.0519196378899
597600,2022-05-13 16:38:09,-34.4373640116451,-59.05191964379
597700,2022-05-13 16:38:09,-34.4373639996856,-59.0519196549669
597800,2022-05-13 16:38:09,-34.437363989234,-59.0519196661229
597900,2022-05-13 16:38:09,-34.4373639799816,-59.0519196765311
598000,2022-05-13 16:38:09,-34.4373639717231,-59.0519196884559
598100,2022-05-13 16:38:10,-34.4373639630534,-59.05191970626
598200,2022-05-13 16:38:10,-34.4373639547948,-59.051919720096
598300,2022-05-13 16:38:10,-34.4373639491749,-59.0519197408501
598400,2022-05-13 16:38:10,-34.4373639431438,-59.0519197605031
598500,2022-05-13 16:38:10,-34.4373639391687,-59.0519197517984
598600,2022-05-13 16:38:10,-34.4373639321781,-59.0519197548731
598700,2022-05-13 16:38:10,-34.4373639254959,-59.0519197657176
598800,2022-05-13 16:38:10,-34.4373639176828,-59.0519197763751
598900,2022-05-13 16:38:10,-34.4373638989726,-59.0519197852044
599000,2022-05-13 16:38:10,-34.4373638838262,-59.0519197934105
599100,2022-05-13 16:38:11,-34.4373638764244,-59.0519197964228
599200,2022-05-13 16:38:11,-34.437363872655,-59.0519197950725
599300,2022-05-13 16:38:11,-34.4373638689883,-59.0519197950101
599400,2022-05-13 16:38:11,-34.4373638661098,-59.0519197967344
599500,2022-05-13 16:38:11,-34.4373638690226,-59.0519198119209
599600,2022-05-13 16:38:11,-34.437363889549,-59.0519198452022
599700,2022-05-13 16:38:11,-34.4373638849913,-59.0519198660809
599800,2022-05-13 16:38:11,-34.4373638796113,-59.0519198890371
599900,2022-05-13 16:38:11,-34.4373638776238,-59.0519199106845
600000,2022-05-13 16:38:11,-34.4373638749166,-59.0519199271797
600100,2022-05-13 16:38:11,-34.4373638751908,-59.0519199374217
600200,2022-05-13 16:38:12,-34.4373638760817,-59.0519199451915
600300,2022-05-13 16:38:12,-34.4373638740257,-59.0519199495127
600400,2022-05-13 16:38:12,-34.4373638716955,-59.0519199544363
600500,2022-05-13 16:38:12,-34.4373638677889,-59.0519199634526
600600,2022-05-13 16:38:12,-34.4373638597703,-59.0519199801764
600700,2022-05-13 16:38:12,-34.437363859222,-59.0519199814229
600800,2022-05-13 16:38:12,-34.4373638591535,-59.0519199786183
600900,2022-05-13 16:38:12,-34.4373638618263,-59.0519199706823
601000,2022-05-13 16:38:12,-34.4373638691939,-59.0519199588614
601100,2022-05-13 16:38:13,-34.4373638645335,-59.0519199551011
601200,2022-05-13 16:38:13,-34.4373638569946,-59.0519199500944
601300,2022-05-13 16:38:13,-34.4373638591535,-59.051919930379
601400,2022-05-13 16:38:13,-34.437363856926,-59.0519199145902
601500,2022-05-13 16:38:13,-34.4373638575086,-59.0519198928804
